title,material,weight,transport,recyclability,true_eco_score,co2_emissions,origin,category,search_term
Protein Powder - Amazon Product,Plastic,0.62,Ship,Low,C,3.72,China,health_beauty,protein powder
Backpack - Amazon Product,Other,7.37,Ship,Low,D,22.11,China,sports_outdoors,backpack
Running Shoes - Amazon Product,Other,9.23,Ship,Low,D,27.69,China,sports_outdoors,running shoes
T-Shirt - Amazon Product,Polyester,1.28,Ship,Medium,D,12.16,Vietnam,clothing,t-shirt
Toaster - Amazon Product,Glass,0.46,Ship,High,B,0.39,Germany,home_kitchen,toaster
Pen - Amazon Product,Wood,0.52,Ship,Medium,A,0.21,China,books_media,pen
Camera - Amazon Product,Aluminum,3.04,Air,High,D,52.44,South Korea,electronics,camera
Speaker - Amazon Product,Plastic,0.43,Air,Low,D,3.87,Japan,electronics,speaker
Marker - Amazon Product,Wood,1.21,Ship,Medium,B,0.48,Germany,books_media,marker
Lamp - Amazon Product,Plastic,0.44,Ship,Low,C,2.64,UK,home_kitchen,lamp
Blender - Amazon Product,Wood,1.47,Ship,Medium,B,0.59,China,home_kitchen,blender
Sneakers - Amazon Product,Cotton,1.79,Ship,Medium,C,10.56,Vietnam,clothing,sneakers
Yoga Mat - Amazon Product,Steel,8.03,Ship,High,C,20.07,China,sports_outdoors,yoga mat
Tent - Amazon Product,Other,1.79,Ship,Low,D,5.37,Germany,sports_outdoors,tent
Blender - Amazon Product,Wood,0.71,Ship,Medium,A,0.28,Germany,home_kitchen,blender
Tablet - Amazon Product,Steel,2.39,Air,High,D,8.96,Japan,electronics,tablet
Dumbbell - Amazon Product,Plastic,9.35,Ship,Low,D,56.1,China,sports_outdoors,dumbbell
Water Bottle - Amazon Product,Rubber,6.21,Ship,Low,D,19.87,China,sports_outdoors,water bottle
Running Shoes - Amazon Product,Plastic,1.69,Ship,Low,D,10.14,USA,sports_outdoors,running shoes
Face Mask - Amazon Product,Paper,0.17,Ship,High,A+,0.19,China,health_beauty,face mask
Water Bottle - Amazon Product,Rubber,0.95,Ship,Low,C,3.04,Germany,sports_outdoors,water bottle
Water Bottle - Amazon Product,Other,9.77,Ship,Low,D,29.31,China,sports_outdoors,water bottle
Keyboard - Amazon Product,Steel,2.07,Air,High,D,7.76,Japan,electronics,keyboard
Water Bottle - Amazon Product,Glass,1.49,Ship,High,B,1.27,Germany,home_kitchen,water bottle
Charger - Amazon Product,Steel,4.11,Air,High,D,15.41,Japan,electronics,charger
Toaster - Amazon Product,Steel,2.6,Ship,High,C,6.5,China,home_kitchen,toaster
Toothbrush - Amazon Product,Paper,0.29,Ship,High,A+,0.32,USA,health_beauty,toothbrush
Camera - Amazon Product,Aluminum,1.24,Air,High,D,21.39,China,electronics,camera
Coffee Mug - Amazon Product,Glass,2.84,Ship,High,C,2.41,Germany,home_kitchen,coffee mug
Phone Case - Amazon Product,Plastic,3.25,Air,Low,F,29.25,Japan,electronics,phone case
Bike Helmet - Amazon Product,Plastic,2.73,Ship,Low,D,16.38,Germany,sports_outdoors,bike helmet
Blender - Amazon Product,Glass,1.69,Ship,High,B,1.44,Germany,home_kitchen,blender
Belt - Amazon Product,Polyester,1.65,Ship,Medium,D,15.67,China,clothing,belt
Mouse - Amazon Product,Aluminum,2.24,Air,High,D,38.64,Japan,electronics,mouse
Jeans - Amazon Product,Other,1.13,Ship,Low,D,3.39,Bangladesh,clothing,jeans
Backpack - Amazon Product,Other,4.66,Ship,Low,D,13.98,USA,sports_outdoors,backpack
Charger - Amazon Product,Steel,0.25,Air,High,C,0.94,Japan,electronics,charger
Headphones - Amazon Product,Aluminum,2.6,Air,High,D,44.85,Japan,electronics,headphones
Water Bottle - Amazon Product,Steel,2.46,Ship,High,C,6.15,UK,home_kitchen,water bottle
Shampoo - Amazon Product,Glass,0.71,Ship,High,B,0.6,France,health_beauty,shampoo
Jeans - Amazon Product,Polyester,1.81,Ship,Medium,D,17.2,Bangladesh,clothing,jeans
Kitchen Scale - Amazon Product,Steel,0.54,Ship,High,B,1.35,UK,home_kitchen,kitchen scale
Coffee Mug - Amazon Product,Wood,2.77,Ship,Medium,B,1.11,UK,home_kitchen,coffee mug
Board Game - Amazon Product,Plastic,0.35,Ship,Low,C,2.1,Germany,books_media,board game
Sleeping Bag - Amazon Product,Other,9.07,Ship,Low,D,27.21,USA,sports_outdoors,sleeping bag
Speaker - Amazon Product,Plastic,1.5,Air,Low,F,13.5,South Korea,electronics,speaker
Book - Amazon Product,Plastic,1.6,Ship,Low,D,9.6,Germany,books_media,book
Soap - Amazon Product,Plastic,0.35,Ship,Low,C,2.1,USA,health_beauty,soap
Soap - Amazon Product,Paper,0.18,Ship,High,A+,0.2,France,health_beauty,soap
Jacket - Amazon Product,Cotton,0.67,Ship,Medium,C,3.95,Vietnam,clothing,jacket
Dress - Amazon Product,Polyester,0.64,Ship,Medium,D,6.08,China,clothing,dress
Keyboard - Amazon Product,Aluminum,0.79,Air,High,C,13.63,South Korea,electronics,keyboard
Perfume - Amazon Product,Glass,0.2,Ship,High,B,0.17,USA,health_beauty,perfume
Laptop - Amazon Product,Aluminum,0.93,Air,High,C,16.04,China,electronics,laptop
Art Supplies - Amazon Product,Wood,1.43,Ship,Medium,B,0.57,China,books_media,art supplies
Kitchen Scale - Amazon Product,Wood,2.15,Ship,Medium,B,0.86,UK,home_kitchen,kitchen scale
Speaker - Amazon Product,Steel,4.87,Air,High,D,18.26,China,electronics,speaker
Dumbbell - Amazon Product,Steel,6.89,Ship,High,C,17.22,Germany,sports_outdoors,dumbbell
Smart Watch - Amazon Product,Plastic,3.31,Air,Low,F,29.79,South Korea,electronics,smart watch
Laptop - Amazon Product,Plastic,2.61,Air,Low,F,23.49,South Korea,electronics,laptop
Camera - Amazon Product,Steel,3.31,Air,High,D,12.41,Japan,electronics,camera
Jeans - Amazon Product,Polyester,0.2,Ship,Medium,D,1.9,Vietnam,clothing,jeans
Calculator - Amazon Product,Plastic,1.07,Ship,Low,D,6.42,Germany,books_media,calculator
Art Supplies - Amazon Product,Plastic,1.23,Ship,Low,D,7.38,UK,books_media,art supplies
Dumbbell - Amazon Product,Rubber,9.25,Ship,Low,D,29.6,China,sports_outdoors,dumbbell
Art Supplies - Amazon Product,Paper,1.72,Ship,High,A,1.89,UK,books_media,art supplies
Water Bottle - Amazon Product,Steel,3.53,Ship,High,C,8.82,China,sports_outdoors,water bottle
Kitchen Scale - Amazon Product,Wood,0.61,Ship,Medium,A,0.24,Germany,home_kitchen,kitchen scale
T-Shirt - Amazon Product,Other,1.52,Ship,Low,D,4.56,Vietnam,clothing,t-shirt
Yoga Mat - Amazon Product,Steel,0.87,Ship,High,B,2.17,Germany,sports_outdoors,yoga mat
Water Bottle - Amazon Product,Other,0.58,Ship,Low,C,1.74,Germany,sports_outdoors,water bottle
Backpack - Amazon Product,Polyester,1.25,Ship,Medium,D,11.88,Bangladesh,clothing,backpack
Toothbrush - Amazon Product,Glass,0.43,Ship,High,B,0.37,USA,health_beauty,toothbrush
Protein Bar - Amazon Product,Plastic,4.76,Ship,Low,D,28.56,USA,sports_outdoors,protein bar
Marker - Amazon Product,Wood,1.39,Ship,Medium,B,0.56,Germany,books_media,marker
Tent - Amazon Product,Plastic,9.38,Ship,Low,D,56.28,Germany,sports_outdoors,tent
Sneakers - Amazon Product,Other,1.86,Ship,Low,D,5.58,Vietnam,clothing,sneakers
Dress - Amazon Product,Cotton,1.31,Ship,Medium,C,7.73,Vietnam,clothing,dress
Hat - Amazon Product,Polyester,0.69,Ship,Medium,D,6.55,China,clothing,hat
Moisturizer - Amazon Product,Paper,0.64,Ship,High,A+,0.7,China,health_beauty,moisturizer
Dumbbell - Amazon Product,Other,3.37,Ship,Low,D,10.11,Germany,sports_outdoors,dumbbell
Sneakers - Amazon Product,Other,0.22,Ship,Low,C,0.66,Bangladesh,clothing,sneakers
Lamp - Amazon Product,Steel,0.82,Ship,High,B,2.05,China,home_kitchen,lamp
Kitchen Scale - Amazon Product,Wood,1.43,Ship,Medium,B,0.57,UK,home_kitchen,kitchen scale
Calculator - Amazon Product,Plastic,1.59,Ship,Low,D,9.54,Germany,books_media,calculator
Board Game - Amazon Product,Wood,1.96,Ship,Medium,B,0.78,UK,books_media,board game
Speaker - Amazon Product,Steel,4.93,Air,High,D,18.49,South Korea,electronics,speaker
Kitchen Scale - Amazon Product,Plastic,0.4,Ship,Low,C,2.4,Germany,home_kitchen,kitchen scale
Storage Container - Amazon Product,Plastic,1.17,Ship,Low,D,7.02,UK,home_kitchen,storage container
Speaker - Amazon Product,Plastic,3.14,Air,Low,F,28.26,South Korea,electronics,speaker
Vitamin - Amazon Product,Plastic,0.29,Ship,Low,C,1.74,China,health_beauty,vitamin
Wallet - Amazon Product,Polyester,1.0,Ship,Medium,D,9.5,China,clothing,wallet
Perfume - Amazon Product,Glass,0.9,Ship,High,B,0.77,USA,health_beauty,perfume
Shampoo - Amazon Product,Plastic,0.21,Ship,Low,C,1.26,France,health_beauty,shampoo
Camera - Amazon Product,Plastic,0.5,Air,Low,D,4.5,South Korea,electronics,camera
Wallet - Amazon Product,Other,1.92,Ship,Low,D,5.76,China,clothing,wallet
Backpack - Amazon Product,Cotton,0.44,Ship,Medium,C,2.6,Bangladesh,clothing,backpack
Toothbrush - Amazon Product,Paper,0.12,Ship,High,A+,0.13,USA,health_beauty,toothbrush
Speaker - Amazon Product,Plastic,4.9,Air,Low,F,44.1,Japan,electronics,speaker
Jeans - Amazon Product,Cotton,1.72,Ship,Medium,C,10.15,China,clothing,jeans
Laptop - Amazon Product,Plastic,3.71,Air,Low,F,33.39,Japan,electronics,laptop
Protein Powder - Amazon Product,Plastic,0.54,Ship,Low,C,3.24,China,health_beauty,protein powder
Jeans - Amazon Product,Cotton,1.74,Ship,Medium,C,10.27,Bangladesh,clothing,jeans
Board Game - Amazon Product,Wood,0.11,Ship,Medium,A,0.04,UK,books_media,board game
Toothbrush - Amazon Product,Plastic,0.33,Ship,Low,C,1.98,China,health_beauty,toothbrush
Belt - Amazon Product,Other,0.64,Ship,Low,C,1.92,China,clothing,belt
Book - Amazon Product,Plastic,1.49,Ship,Low,D,8.94,UK,books_media,book
Book - Amazon Product,Paper,0.19,Ship,High,A+,0.21,Germany,books_media,book
Soap - Amazon Product,Glass,0.74,Ship,High,B,0.63,China,health_beauty,soap
Kitchen Scale - Amazon Product,Plastic,2.39,Ship,Low,D,14.34,China,home_kitchen,kitchen scale
Sneakers - Amazon Product,Cotton,1.48,Ship,Medium,C,8.73,Bangladesh,clothing,sneakers
Moisturizer - Amazon Product,Glass,0.31,Ship,High,B,0.26,China,health_beauty,moisturizer
Shampoo - Amazon Product,Glass,0.95,Ship,High,B,0.81,USA,health_beauty,shampoo
Belt - Amazon Product,Cotton,1.5,Ship,Medium,C,8.85,Vietnam,clothing,belt
Backpack - Amazon Product,Steel,3.78,Ship,High,C,9.45,USA,sports_outdoors,backpack
Yoga Mat - Amazon Product,Rubber,9.32,Ship,Low,D,29.82,China,sports_outdoors,yoga mat
Toaster - Amazon Product,Plastic,0.55,Ship,Low,C,3.3,UK,home_kitchen,toaster
Kitchen Scale - Amazon Product,Wood,1.8,Ship,Medium,B,0.72,UK,home_kitchen,kitchen scale
T-Shirt - Amazon Product,Other,0.64,Ship,Low,C,1.92,Vietnam,clothing,t-shirt
Cutting Board - Amazon Product,Steel,0.64,Ship,High,B,1.6,Germany,home_kitchen,cutting board
T-Shirt - Amazon Product,Other,0.94,Ship,Low,C,2.82,Bangladesh,clothing,t-shirt
Calculator - Amazon Product,Paper,0.86,Ship,High,A+,0.95,Germany,books_media,calculator
Kitchen Scale - Amazon Product,Glass,0.7,Ship,High,B,0.59,UK,home_kitchen,kitchen scale
Face Mask - Amazon Product,Glass,0.13,Ship,High,B,0.11,China,health_beauty,face mask
Book - Amazon Product,Plastic,1.04,Ship,Low,D,6.24,China,books_media,book
Keyboard - Amazon Product,Steel,0.41,Air,High,C,1.54,South Korea,electronics,keyboard
Shampoo - Amazon Product,Glass,0.5,Ship,High,B,0.42,USA,health_beauty,shampoo
Jacket - Amazon Product,Polyester,1.95,Ship,Medium,D,18.52,China,clothing,jacket
Jeans - Amazon Product,Other,1.29,Ship,Low,D,3.87,Bangladesh,clothing,jeans
Calculator - Amazon Product,Paper,1.49,Ship,High,A,1.64,China,books_media,calculator
Charger - Amazon Product,Aluminum,0.44,Air,High,C,7.59,South Korea,electronics,charger
Tablet - Amazon Product,Plastic,1.08,Air,Low,F,9.72,China,electronics,tablet
Sneakers - Amazon Product,Other,1.2,Ship,Low,D,3.6,Vietnam,clothing,sneakers
Vitamin - Amazon Product,Plastic,0.13,Ship,Low,C,0.78,USA,health_beauty,vitamin
T-Shirt - Amazon Product,Cotton,0.66,Ship,Medium,C,3.89,China,clothing,t-shirt
Laptop - Amazon Product,Aluminum,4.03,Air,High,D,69.52,Japan,electronics,laptop
Cushion - Amazon Product,Steel,2.96,Ship,High,C,7.4,UK,home_kitchen,cushion
Camera - Amazon Product,Steel,2.76,Air,High,D,10.35,South Korea,electronics,camera
Storage Container - Amazon Product,Wood,2.1,Ship,Medium,B,0.84,UK,home_kitchen,storage container
Board Game - Amazon Product,Paper,0.89,Ship,High,A+,0.98,China,books_media,board game
Puzzle - Amazon Product,Paper,0.45,Ship,High,A+,0.5,UK,books_media,puzzle
Yoga Mat - Amazon Product,Plastic,5.47,Ship,Low,D,32.82,China,sports_outdoors,yoga mat
Moisturizer - Amazon Product,Plastic,0.63,Ship,Low,C,3.78,China,health_beauty,moisturizer
Marker - Amazon Product,Plastic,1.4,Ship,Low,D,8.4,Germany,books_media,marker
Dress - Amazon Product,Cotton,0.76,Ship,Medium,C,4.48,Bangladesh,clothing,dress
Vitamin - Amazon Product,Glass,0.46,Ship,High,B,0.39,USA,health_beauty,vitamin
Book - Amazon Product,Plastic,0.34,Ship,Low,C,2.04,Germany,books_media,book
Camera - Amazon Product,Plastic,0.89,Air,Low,D,8.01,China,electronics,camera
Sunscreen - Amazon Product,Glass,0.46,Ship,High,B,0.39,USA,health_beauty,sunscreen
Pen - Amazon Product,Plastic,0.91,Ship,Low,C,5.46,UK,books_media,pen
Shampoo - Amazon Product,Plastic,0.81,Ship,Low,C,4.86,USA,health_beauty,shampoo
Tablet - Amazon Product,Steel,3.18,Air,High,D,11.93,South Korea,electronics,tablet
Pen - Amazon Product,Paper,1.38,Ship,High,A,1.52,China,books_media,pen
Calculator - Amazon Product,Wood,0.8,Ship,Medium,A,0.32,Germany,books_media,calculator
Charger - Amazon Product,Plastic,2.19,Air,Low,F,19.71,China,electronics,charger
Marker - Amazon Product,Plastic,0.74,Ship,Low,C,4.44,Germany,books_media,marker
Sleeping Bag - Amazon Product,Plastic,6.24,Ship,Low,D,37.44,China,sports_outdoors,sleeping bag
Book - Amazon Product,Wood,1.48,Ship,Medium,B,0.59,UK,books_media,book
Storage Container - Amazon Product,Glass,1.71,Ship,High,B,1.45,China,home_kitchen,storage container
Sweater - Amazon Product,Cotton,1.66,Ship,Medium,C,9.79,China,clothing,sweater
Toothbrush - Amazon Product,Glass,0.23,Ship,High,B,0.2,France,health_beauty,toothbrush
Puzzle - Amazon Product,Wood,1.98,Ship,Medium,B,0.79,Germany,books_media,puzzle
Water Bottle - Amazon Product,Plastic,0.61,Ship,Low,C,3.66,China,home_kitchen,water bottle
T-Shirt - Amazon Product,Cotton,0.18,Ship,Medium,C,1.06,Bangladesh,clothing,t-shirt
Soap - Amazon Product,Glass,0.46,Ship,High,B,0.39,France,health_beauty,soap
Bike Helmet - Amazon Product,Other,2.32,Ship,Low,D,6.96,China,sports_outdoors,bike helmet
Tent - Amazon Product,Plastic,8.43,Ship,Low,D,50.58,USA,sports_outdoors,tent
Protein Powder - Amazon Product,Paper,0.43,Ship,High,A+,0.47,USA,health_beauty,protein powder
Perfume - Amazon Product,Plastic,0.76,Ship,Low,C,4.56,France,health_beauty,perfume
Cushion - Amazon Product,Wood,2.06,Ship,Medium,B,0.82,China,home_kitchen,cushion
Wallet - Amazon Product,Other,0.5,Ship,Low,C,1.5,Vietnam,clothing,wallet
Perfume - Amazon Product,Glass,0.95,Ship,High,B,0.81,France,health_beauty,perfume
Dumbbell - Amazon Product,Steel,7.11,Ship,High,C,17.78,Germany,sports_outdoors,dumbbell
Storage Container - Amazon Product,Plastic,2.77,Ship,Low,D,16.62,China,home_kitchen,storage container
Book - Amazon Product,Plastic,1.7,Ship,Low,D,10.2,Germany,books_media,book
Mouse - Amazon Product,Plastic,2.98,Air,Low,F,26.82,China,electronics,mouse
Headphones - Amazon Product,Aluminum,2.76,Air,High,D,47.61,China,electronics,headphones
Marker - Amazon Product,Paper,1.07,Ship,High,A,1.18,UK,books_media,marker
Dress - Amazon Product,Other,0.18,Ship,Low,C,0.54,China,clothing,dress
Jeans - Amazon Product,Cotton,1.58,Ship,Medium,C,9.32,Bangladesh,clothing,jeans
Coffee Mug - Amazon Product,Steel,0.24,Ship,High,B,0.6,Germany,home_kitchen,coffee mug
Vitamin - Amazon Product,Plastic,0.42,Ship,Low,C,2.52,China,health_beauty,vitamin
Pen - Amazon Product,Wood,0.54,Ship,Medium,A,0.22,China,books_media,pen
Headphones - Amazon Product,Aluminum,0.4,Air,High,C,6.9,Japan,electronics,headphones
Jeans - Amazon Product,Polyester,1.56,Ship,Medium,D,14.82,Vietnam,clothing,jeans
T-Shirt - Amazon Product,Other,0.5,Ship,Low,C,1.5,Bangladesh,clothing,t-shirt
Toaster - Amazon Product,Wood,2.02,Ship,Medium,B,0.81,Germany,home_kitchen,toaster
Laptop - Amazon Product,Plastic,2.17,Air,Low,F,19.53,Japan,electronics,laptop
Charger - Amazon Product,Aluminum,2.25,Air,High,D,38.81,Japan,electronics,charger
Water Bottle - Amazon Product,Steel,1.22,Ship,High,C,3.05,China,home_kitchen,water bottle
Notebook - Amazon Product,Paper,1.87,Ship,High,A,2.06,China,books_media,notebook
T-Shirt - Amazon Product,Polyester,0.86,Ship,Medium,D,8.17,Bangladesh,clothing,t-shirt
Face Mask - Amazon Product,Paper,0.32,Ship,High,A+,0.35,China,health_beauty,face mask
Protein Bar - Amazon Product,Other,3.49,Ship,Low,D,10.47,Germany,sports_outdoors,protein bar
Vitamin - Amazon Product,Paper,0.93,Ship,High,A+,1.02,France,health_beauty,vitamin
Blender - Amazon Product,Wood,1.29,Ship,Medium,B,0.52,Germany,home_kitchen,blender
Blanket - Amazon Product,Glass,1.2,Ship,High,B,1.02,Germany,home_kitchen,blanket
Backpack - Amazon Product,Steel,9.59,Ship,High,C,23.98,USA,sports_outdoors,backpack
Storage Container - Amazon Product,Glass,1.34,Ship,High,B,1.14,UK,home_kitchen,storage container
Toothbrush - Amazon Product,Plastic,0.17,Ship,Low,C,1.02,France,health_beauty,toothbrush
Charger - Amazon Product,Steel,0.67,Air,High,C,2.51,China,electronics,charger
Dress - Amazon Product,Polyester,1.82,Ship,Medium,D,17.29,China,clothing,dress
Sweater - Amazon Product,Other,1.88,Ship,Low,D,5.64,Vietnam,clothing,sweater
Kitchen Scale - Amazon Product,Glass,1.55,Ship,High,B,1.32,China,home_kitchen,kitchen scale
Laptop - Amazon Product,Steel,2.17,Air,High,D,8.14,Japan,electronics,laptop
Sleeping Bag - Amazon Product,Plastic,0.77,Ship,Low,C,4.62,USA,sports_outdoors,sleeping bag
Notebook - Amazon Product,Paper,1.24,Ship,High,A,1.36,China,books_media,notebook
Water Bottle - Amazon Product,Wood,0.26,Ship,Medium,A,0.1,China,home_kitchen,water bottle
Toaster - Amazon Product,Glass,1.91,Ship,High,B,1.62,Germany,home_kitchen,toaster
Vitamin - Amazon Product,Glass,0.56,Ship,High,B,0.48,China,health_beauty,vitamin
Puzzle - Amazon Product,Plastic,1.99,Ship,Low,D,11.94,Germany,books_media,puzzle
Jeans - Amazon Product,Cotton,1.28,Ship,Medium,C,7.55,Vietnam,clothing,jeans
Moisturizer - Amazon Product,Glass,0.6,Ship,High,B,0.51,China,health_beauty,moisturizer
Notebook - Amazon Product,Plastic,0.31,Ship,Low,C,1.86,China,books_media,notebook
Tablet - Amazon Product,Plastic,2.14,Air,Low,F,19.26,Japan,electronics,tablet
Jacket - Amazon Product,Cotton,1.02,Ship,Medium,C,6.02,China,clothing,jacket
Kitchen Scale - Amazon Product,Steel,1.45,Ship,High,C,3.62,China,home_kitchen,kitchen scale
Laptop - Amazon Product,Plastic,3.79,Air,Low,F,34.11,South Korea,electronics,laptop
Cutting Board - Amazon Product,Steel,2.79,Ship,High,C,6.97,China,home_kitchen,cutting board
Water Bottle - Amazon Product,Steel,2.73,Ship,High,C,6.83,Germany,home_kitchen,water bottle
Mouse - Amazon Product,Steel,2.87,Air,High,D,10.76,South Korea,electronics,mouse
Sunscreen - Amazon Product,Paper,0.66,Ship,High,A+,0.73,China,health_beauty,sunscreen
Tent - Amazon Product,Other,7.68,Ship,Low,D,23.04,China,sports_outdoors,tent
Board Game - Amazon Product,Paper,0.7,Ship,High,A+,0.77,UK,books_media,board game
Board Game - Amazon Product,Paper,1.52,Ship,High,A,1.67,Germany,books_media,board game
Laptop - Amazon Product,Aluminum,0.76,Air,High,C,13.11,Japan,electronics,laptop
Camera - Amazon Product,Steel,0.38,Air,High,C,1.43,China,electronics,camera
Marker - Amazon Product,Paper,1.0,Ship,High,A+,1.1,UK,books_media,marker
Planner - Amazon Product,Paper,1.17,Ship,High,A,1.29,Germany,books_media,planner
Speaker - Amazon Product,Steel,0.48,Air,High,C,1.8,China,electronics,speaker
Coffee Mug - Amazon Product,Wood,1.62,Ship,Medium,B,0.65,Germany,home_kitchen,coffee mug
Cushion - Amazon Product,Glass,1.67,Ship,High,B,1.42,Germany,home_kitchen,cushion
Dress - Amazon Product,Polyester,0.32,Ship,Medium,D,3.04,China,clothing,dress
Speaker - Amazon Product,Aluminum,4.79,Air,High,D,82.63,China,electronics,speaker
Backpack - Amazon Product,Other,8.33,Ship,Low,D,24.99,China,sports_outdoors,backpack
Razor - Amazon Product,Paper,0.39,Ship,High,A+,0.43,USA,health_beauty,razor
Protein Powder - Amazon Product,Paper,0.93,Ship,High,A+,1.02,China,health_beauty,protein powder
Moisturizer - Amazon Product,Paper,0.51,Ship,High,A+,0.56,France,health_beauty,moisturizer
Smart Watch - Amazon Product,Plastic,1.36,Air,Low,F,12.24,China,electronics,smart watch
Keyboard - Amazon Product,Steel,3.81,Air,High,D,14.29,China,electronics,keyboard
Smart Watch - Amazon Product,Plastic,1.86,Air,Low,F,16.74,Japan,electronics,smart watch
Yoga Mat - Amazon Product,Rubber,8.35,Ship,Low,D,26.72,USA,sports_outdoors,yoga mat
Pen - Amazon Product,Plastic,1.4,Ship,Low,D,8.4,Germany,books_media,pen
Razor - Amazon Product,Paper,0.31,Ship,High,A+,0.34,France,health_beauty,razor
Razor - Amazon Product,Paper,0.05,Ship,High,A+,0.06,France,health_beauty,razor
Keyboard - Amazon Product,Aluminum,2.88,Air,High,D,49.68,Japan,electronics,keyboard
Toaster - Amazon Product,Steel,1.9,Ship,High,C,4.75,China,home_kitchen,toaster
Backpack - Amazon Product,Polyester,1.94,Ship,Medium,D,18.43,China,clothing,backpack
Keyboard - Amazon Product,Plastic,3.14,Air,Low,F,28.26,China,electronics,keyboard
Planner - Amazon Product,Wood,1.61,Ship,Medium,B,0.64,Germany,books_media,planner
Moisturizer - Amazon Product,Paper,0.15,Ship,High,A+,0.17,USA,health_beauty,moisturizer
Face Mask - Amazon Product,Paper,0.17,Ship,High,A+,0.19,France,health_beauty,face mask
Marker - Amazon Product,Wood,0.94,Ship,Medium,A,0.38,Germany,books_media,marker
Backpack - Amazon Product,Plastic,2.97,Ship,Low,D,17.82,USA,sports_outdoors,backpack
Hat - Amazon Product,Other,0.51,Ship,Low,C,1.53,Bangladesh,clothing,hat
Water Bottle - Amazon Product,Rubber,9.86,Ship,Low,D,31.55,Germany,sports_outdoors,water bottle
Sweater - Amazon Product,Cotton,0.14,Ship,Medium,C,0.83,Bangladesh,clothing,sweater
Razor - Amazon Product,Plastic,0.9,Ship,Low,C,5.4,China,health_beauty,razor
Coffee Mug - Amazon Product,Plastic,0.42,Ship,Low,C,2.52,Germany,home_kitchen,coffee mug
Calculator - Amazon Product,Wood,1.13,Ship,Medium,B,0.45,China,books_media,calculator
Cushion - Amazon Product,Steel,2.06,Ship,High,C,5.15,UK,home_kitchen,cushion
Dress - Amazon Product,Cotton,1.54,Ship,Medium,C,9.09,Vietnam,clothing,dress
Headphones - Amazon Product,Aluminum,3.69,Air,High,D,63.65,China,electronics,headphones
Sweater - Amazon Product,Cotton,1.94,Ship,Medium,C,11.45,China,clothing,sweater
Marker - Amazon Product,Plastic,1.38,Ship,Low,D,8.28,Germany,books_media,marker
Kitchen Scale - Amazon Product,Glass,2.4,Ship,High,C,2.04,Germany,home_kitchen,kitchen scale
Mouse - Amazon Product,Aluminum,2.65,Air,High,D,45.71,Japan,electronics,mouse
Dumbbell - Amazon Product,Other,1.59,Ship,Low,D,4.77,USA,sports_outdoors,dumbbell
Soap - Amazon Product,Glass,0.71,Ship,High,B,0.6,USA,health_beauty,soap
Keyboard - Amazon Product,Aluminum,0.29,Air,High,C,5.0,China,electronics,keyboard
Toaster - Amazon Product,Steel,0.81,Ship,High,B,2.03,China,home_kitchen,toaster
Sunscreen - Amazon Product,Plastic,0.55,Ship,Low,C,3.3,France,health_beauty,sunscreen
Storage Container - Amazon Product,Steel,2.75,Ship,High,C,6.88,China,home_kitchen,storage container
Moisturizer - Amazon Product,Paper,0.91,Ship,High,A+,1.0,USA,health_beauty,moisturizer
Planner - Amazon Product,Paper,0.31,Ship,High,A+,0.34,UK,books_media,planner
Coffee Mug - Amazon Product,Glass,0.79,Ship,High,B,0.67,UK,home_kitchen,coffee mug
Book - Amazon Product,Wood,0.77,Ship,Medium,A,0.31,UK,books_media,book
Yoga Mat - Amazon Product,Rubber,4.08,Ship,Low,D,13.06,China,sports_outdoors,yoga mat
Board Game - Amazon Product,Wood,1.02,Ship,Medium,B,0.41,Germany,books_media,board game
Yoga Mat - Amazon Product,Other,2.53,Ship,Low,D,7.59,Germany,sports_outdoors,yoga mat
Yoga Mat - Amazon Product,Other,4.69,Ship,Low,D,14.07,Germany,sports_outdoors,yoga mat
Sweater - Amazon Product,Polyester,0.89,Ship,Medium,D,8.46,Bangladesh,clothing,sweater
Razor - Amazon Product,Paper,0.24,Ship,High,A+,0.26,USA,health_beauty,razor
Sleeping Bag - Amazon Product,Steel,3.32,Ship,High,C,8.3,Germany,sports_outdoors,sleeping bag
Notebook - Amazon Product,Plastic,0.69,Ship,Low,C,4.14,UK,books_media,notebook
Protein Powder - Amazon Product,Paper,0.58,Ship,High,A+,0.64,France,health_beauty,protein powder
Yoga Mat - Amazon Product,Steel,6.64,Ship,High,C,16.6,Germany,sports_outdoors,yoga mat
Phone Case - Amazon Product,Plastic,4.68,Air,Low,F,42.12,South Korea,electronics,phone case
Headphones - Amazon Product,Plastic,0.94,Air,Low,D,8.46,South Korea,electronics,headphones
Calculator - Amazon Product,Wood,1.57,Ship,Medium,B,0.63,China,books_media,calculator
Toothbrush - Amazon Product,Glass,0.57,Ship,High,B,0.48,USA,health_beauty,toothbrush
Protein Bar - Amazon Product,Plastic,9.07,Ship,Low,D,54.42,USA,sports_outdoors,protein bar
Shampoo - Amazon Product,Paper,0.42,Ship,High,A+,0.46,France,health_beauty,shampoo
Laptop - Amazon Product,Plastic,0.52,Air,Low,D,4.68,Japan,electronics,laptop
Sneakers - Amazon Product,Polyester,1.62,Ship,Medium,D,15.39,Bangladesh,clothing,sneakers
Puzzle - Amazon Product,Plastic,1.13,Ship,Low,D,6.78,Germany,books_media,puzzle
Camera - Amazon Product,Steel,1.31,Air,High,D,4.91,Japan,electronics,camera
